Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
KT10 0AP,Yes,51.377588,-0.337485,515805,165593,TQ158655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1996-12-01,,14,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030320,"Elmbridge 009B"
KT10 0AQ,Yes,51.378597,-0.331916,516190,165714,TQ161657,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0AR,Yes,51.359326,-0.340761,515623,163557,TQ156635,"Claygate","Claygate",2002-06-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0AS,No,51.374956,-0.337652,515800,165300,TQ158653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1987-10-01,1991-12-01,18,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030320,"Elmbridge 009B"
KT10 0AT,Yes,51.374239,-0.337281,515828,165221,TQ158652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2004-01-01,,19,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0AU,Yes,51.375292,-0.335341,515960,165341,TQ159653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,19,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0AW,Yes,51.376175,-0.338657,515727,165434,TQ157654,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1993-08-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030320,"Elmbridge 009B"
KT10 0AX,Yes,51.374957,-0.335167,515973,165304,TQ159653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,20,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0AY,Yes,51.375674,-0.335658,515937,165383,TQ159653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,18,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0AZ,Yes,51.376858,-0.334825,515992,165516,TQ159655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,17,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BA,Yes,51.376985,-0.334274,516030,165531,TQ160655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,17,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BB,Yes,51.377461,-0.333596,516076,165585,TQ160655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BD,Yes,51.376323,-0.332062,516186,165461,TQ161654,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,18,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BE,Yes,51.376796,-0.335608,515938,165508,TQ159655,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2008-05-01,,17,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BF,Yes,51.359564,-0.340436,515645,163584,TQ156635,"Claygate","Claygate",2003-02-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0BG,Yes,51.377815,-0.333209,516102,165625,TQ161656,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,16,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BH,Yes,51.373599,-0.330747,516284,165160,TQ162651,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BJ,Yes,51.374115,-0.330341,516311,165218,TQ163652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BL,No,51.373996,-0.333377,516100,165200,TQ160652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1991-09-01,1992-12-01,23,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030319,"Elmbridge 009A"
KT10 0BN,Yes,51.355516,-0.337178,515882,163139,TQ158631,"Claygate","Claygate",2009-06-01,,41,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0BP,Yes,51.375147,-0.327731,516490,165337,TQ164653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2010-12-01,,22,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BQ,Yes,51.375112,-0.32904,516399,165331,TQ163653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BS,Yes,51.372682,-0.338459,515750,165046,TQ157650,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0BT,Yes,51.372639,-0.337909,515788,165042,TQ157650,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,24,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BU,Yes,51.372906,-0.335773,515936,165075,TQ159650,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,26,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BW,No,51.369933,-0.365418,513880,164698,TQ138646,"Esher","Elmbridge, unparished area",2001-12-01,2008-06-01,38,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030307,"Elmbridge 013A"
KT10 0BX,Yes,51.372828,-0.334727,516009,165068,TQ160650,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BY,Yes,51.372,-0.335963,515925,164974,TQ159649,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0BZ,Yes,51.373597,-0.336294,515898,165151,TQ158651,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030321,"Elmbridge 009C"
KT10 0DA,Yes,51.375159,-0.332947,516127,165330,TQ161653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,19,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DB,Yes,51.374945,-0.332451,516162,165307,TQ161653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,20,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DD,Yes,51.375619,-0.327369,516514,165390,TQ165653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2010-03-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DE,Yes,51.374719,-0.331741,516212,165283,TQ162652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,20,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DF,Yes,51.374608,-0.330898,516271,165272,TQ162652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,21,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DG,Yes,51.375381,-0.32643,516580,165365,TQ165653,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2010-03-01,,23,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DH,No,51.369543,-0.336412,515900,164700,TQ158647,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1991-01-01,1995-01-01,49,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030319,"Elmbridge 009A"
KT10 0DJ,Yes,51.374716,-0.326511,516576,165291,TQ165652,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2012-05-01,,25,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DL,Yes,51.361953,-0.339603,515697,163851,TQ156638,"Claygate","Claygate",1980-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030297,"Elmbridge 015B"
KT10 0DN,Yes,51.362705,-0.340595,515626,163933,TQ156639,"Claygate","Claygate",1980-01-01,,26,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030297,"Elmbridge 015B"
KT10 0DP,Yes,51.362678,-0.337422,515847,163935,TQ158639,"Claygate","Claygate",1980-01-01,,26,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DQ,Yes,51.360006,-0.346329,515234,163624,TQ152636,"Claygate","Claygate",2019-12-01,,19,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030297,"Elmbridge 015B"
KT10 0DR,Yes,51.363269,-0.340403,515638,163996,TQ156639,"Claygate","Claygate",1980-01-01,,25,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030297,"Elmbridge 015B"
KT10 0DS,Yes,51.361575,-0.337016,515878,163813,TQ158638,"Claygate","Claygate",1980-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DT,Yes,51.363209,-0.335669,515968,163997,TQ159639,"Claygate","Claygate",1980-01-01,,29,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DU,Yes,51.362529,-0.335158,516005,163922,TQ160639,"Claygate","Claygate",1980-01-01,,29,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DW,Yes,51.363421,-0.33784,515816,164017,TQ158640,"Claygate","Claygate",1980-01-01,,26,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DX,Yes,51.36979,-0.337997,515789,164725,TQ157647,"Hinchley Wood and Weston Green","Elmbridge, unparished area",1980-01-01,,53,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0DY,Yes,51.364368,-0.33489,516019,164127,TQ160641,"Claygate","Claygate",1980-01-01,,29,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0DZ,Yes,51.362855,-0.334068,516080,163960,TQ160639,"Claygate","Claygate",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EA,Yes,51.363503,-0.334131,516074,164032,TQ160640,"Claygate","Claygate",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EB,Yes,51.364054,-0.33368,516104,164094,TQ161640,"Claygate","Claygate",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0ED,Yes,51.363642,-0.336324,515921,164044,TQ159640,"Claygate","Claygate",1980-01-01,,27,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EE,No,51.363231,-0.335204,516000,164000,TQ159640,"Claygate","Claygate",1991-09-01,1992-12-01,30,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030298,"Elmbridge 015C"
KT10 0EF,Yes,51.379747,-0.335085,515967,165837,TQ159658,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2021-11-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030319,"Elmbridge 009A"
KT10 0EG,Yes,51.36149,-0.337982,515811,163802,TQ158638,"Claygate","Claygate",1995-01-01,,28,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EH,Yes,51.360964,-0.339567,515702,163741,TQ157637,"Claygate","Claygate",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EJ,Yes,51.3605,-0.339813,515686,163689,TQ156636,"Claygate","Claygate",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EL,Yes,51.360415,-0.337015,515881,163684,TQ158636,"Claygate","Claygate",1980-01-01,,31,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EN,Yes,51.360068,-0.336008,515952,163647,TQ159636,"Claygate","Claygate",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EP,Yes,51.361833,-0.334278,516068,163846,TQ160638,"Claygate","Claygate",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0EQ,Yes,51.361099,-0.332638,516184,163767,TQ161637,"Claygate","Claygate",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0ER,Yes,51.363306,-0.332903,516160,164012,TQ161640,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0ES,Yes,51.361968,-0.330495,516331,163867,TQ163638,"Claygate","Claygate",1980-01-01,,45,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0ET,Yes,51.361298,-0.327029,516574,163798,TQ165637,"Claygate","Claygate",1980-01-01,,54,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0EU,Yes,51.360804,-0.327062,516573,163743,TQ165637,"Claygate","Claygate",1980-01-01,,55,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0EW,Yes,51.361217,-0.335837,515961,163775,TQ159637,"Claygate","Claygate",1980-01-01,,30,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0EX,Yes,51.361145,-0.325756,516663,163783,TQ166637,"Claygate","Claygate",1980-01-01,,55,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0EY,Yes,51.359582,-0.32781,516524,163606,TQ165636,"Claygate","Claygate",1980-01-01,,55,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0EZ,No,51.361311,-0.326655,516600,163800,TQ166638,"Claygate","Claygate",1980-01-01,1981-12-01,54,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030296,"Elmbridge 015A"
KT10 0GJ,Yes,51.378314,-0.336703,515858,165675,TQ158656,"Hinchley Wood and Weston Green","Elmbridge, unparished area",2002-11-01,,15,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030320,"Elmbridge 009B"
KT10 0HA,Yes,51.355535,-0.329125,516443,163154,TQ164631,"Claygate","Claygate",1996-06-01,,57,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HB,Yes,51.355366,-0.327217,516576,163138,TQ165631,"Claygate","Claygate",1996-06-01,,60,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HD,Yes,51.357513,-0.335957,515962,163363,TQ159633,"Claygate","Claygate",2005-06-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0HE,Yes,51.35493,-0.328209,516508,163088,TQ165630,"Claygate","Claygate",2005-06-01,,57,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HF,Yes,51.359585,-0.343207,515452,163582,TQ154635,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0HG,Yes,51.359817,-0.334255,516075,163622,TQ160636,"Claygate","Claygate",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HH,Yes,51.360696,-0.332782,516175,163722,TQ161637,"Claygate","Claygate",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HJ,Yes,51.360358,-0.334877,516030,163681,TQ160636,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HL,Yes,51.360202,-0.332168,516219,163668,TQ162636,"Claygate","Claygate",1980-01-01,,40,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HN,No,51.359615,-0.333899,516100,163600,TQ160635,"Claygate","Claygate",1988-03-01,1991-12-01,35,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030296,"Elmbridge 015A"
KT10 0HP,Yes,51.35919,-0.333847,516105,163553,TQ161635,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HQ,Yes,51.358943,-0.341636,515563,163513,TQ155635,"Claygate","Claygate",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0HR,Yes,51.357877,-0.333057,516163,163408,TQ161634,"Claygate","Claygate",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HS,Yes,51.358738,-0.33225,516217,163505,TQ162635,"Claygate","Claygate",1980-01-01,,38,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HT,Yes,51.358722,-0.331762,516251,163504,TQ162635,"Claygate","Claygate",1980-01-01,,40,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HU,Yes,51.357765,-0.334081,516092,163394,TQ160633,"Claygate","Claygate",1980-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HW,Yes,51.35937,-0.334971,516026,163571,TQ160635,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HX,Yes,51.358028,-0.335464,515995,163421,TQ159634,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0HY,Yes,51.355394,-0.332357,516218,163133,TQ162631,"Claygate","Claygate",1980-01-01,,49,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0HZ,Yes,51.356041,-0.330423,516351,163208,TQ163632,"Claygate","Claygate",1980-01-01,,53,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030296,"Elmbridge 015A"
KT10 0JA,No,51.359493,-0.339246,515728,163578,TQ157635,"Claygate","Claygate",2006-05-01,2007-08-01,36,England,2022-05-26,"Approximate to within 50 metres",E01030298,"Elmbridge 015C"
KT10 0JB,No,51.35506,-0.329755,516400,163100,TQ164630,"Claygate","Claygate",1980-01-01,1991-12-01,56,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030296,"Elmbridge 015A"
KT10 0JD,Yes,51.359451,-0.338788,515760,163574,TQ157635,"Claygate","Claygate",2005-07-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JE,No,51.355183,-0.338368,515800,163100,TQ158631,"Claygate","Claygate",1980-01-01,1995-07-01,35,England,2022-05-26,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",E01030299,"Elmbridge 015D"
KT10 0JF,Yes,51.355718,-0.337444,515863,163161,TQ158631,"Claygate","Claygate",1980-01-01,,40,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0JG,Yes,51.360266,-0.340545,515636,163662,TQ156636,"Claygate","Claygate",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JH,Yes,51.360603,-0.340111,515665,163700,TQ156637,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JJ,Yes,51.360233,-0.339498,515709,163660,TQ157636,"Claygate","Claygate",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JL,Yes,51.359909,-0.339466,515712,163624,TQ157636,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JN,Yes,51.359894,-0.340237,515658,163621,TQ156636,"Claygate","Claygate",1999-06-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JP,Yes,51.358543,-0.338821,515760,163473,TQ157634,"Claygate","Claygate",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JQ,Yes,51.360274,-0.339884,515682,163664,TQ156636,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JR,Yes,51.358868,-0.336971,515888,163512,TQ158635,"Claygate","Claygate",1980-01-01,,34,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JS,Yes,51.359906,-0.337307,515862,163627,TQ158636,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JT,Yes,51.35862,-0.33799,515818,163483,TQ158634,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JU,Yes,51.357458,-0.337783,515835,163354,TQ158633,"Claygate","Claygate",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0JW,Yes,51.359856,-0.340713,515625,163616,TQ156636,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030298,"Elmbridge 015C"
KT10 0JX,Yes,51.356956,-0.33658,515920,163300,TQ159633,"Claygate","Claygate",1980-01-01,,39,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0JY,Yes,51.356237,-0.33799,515824,163218,TQ158632,"Claygate","Claygate",1980-01-01,,38,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0JZ,Yes,51.354188,-0.337384,515871,162991,TQ158629,"Claygate","Claygate",1980-01-01,,38,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LA,Yes,51.354951,-0.337903,515833,163075,TQ158630,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LB,Yes,51.352731,-0.337351,515877,162829,TQ158628,"Claygate","Claygate",1980-01-01,,36,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LD,Yes,51.351612,-0.334534,516076,162709,TQ160627,"Claygate","Claygate",2007-01-01,,37,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LE,Yes,51.352097,-0.338307,515812,162757,TQ158627,"Claygate","Claygate",1980-01-01,,32,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LF,Yes,51.350772,-0.337513,515871,162611,TQ158626,"Claygate","Claygate",1980-01-01,,33,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
KT10 0LG,Yes,51.351484,-0.336262,515956,162692,TQ159626,"Claygate","Claygate",1980-01-01,,35,England,2022-05-26,"Within the building of the matched address closest to the postcode mean",E01030299,"Elmbridge 015D"
